书名,作者,豆瓣评分,豆瓣链接
《新新日报馆：机械崛起》,梁清散,9.1,https://book.douban.com/subject/26868921/
《一曲终了》,胡学文,9.1,https://book.douban.com/subject/26825931/
《柏林孤谍》,[美] 约瑟夫·卡农,9.1,https://book.douban.com/subject/26852835/
《桤木王》,米歇尔·图尼埃,9.1,https://book.douban.com/subject/1461987/
《古拉格群岛（上中下）》,[俄] 亚历山大·索尔仁尼琴,9.1,https://book.douban.com/subject/1315844/
《斯·茨威格中短篇小说选》,斯·茨威格,9.1,https://book.douban.com/subject/1818583/
《故事新编》,鲁迅,9.1,https://book.douban.com/subject/26285194/
《大胆使用了绿色》,谈波,9.1,https://book.douban.com/subject/26348835/
《仇敌1》,常书欣,9.1,https://book.douban.com/subject/26873783/
《丰饶之海（上下）》,[日] 三岛由纪夫,9.1,https://book.douban.com/subject/1091904/
《神偷天下 1》,郑丰,9.1,https://book.douban.com/subject/26758990/
《战争风云：1939－1941（上下）》,（美）赫尔曼沃克,9.1,https://book.douban.com/subject/1069507/
《巨人的陨落》,[英] 肯·福莱特,9.0,https://book.douban.com/subject/26698660/
《平凡的世界（全三部）》,路遥,9.0,https://book.douban.com/subject/1200840/
《刀锋》,[英]毛姆,9.0,https://book.douban.com/subject/2035162/
《人生的枷锁》,[英] 毛姆,9.0,https://book.douban.com/subject/2035171/
《局外人》,[法] 阿尔贝·加缪,9.0,https://book.douban.com/subject/4908885/
《金色梦乡》,[日] 伊坂幸太郎,9.0,https://book.douban.com/subject/5038409/
《一个叫欧维的男人决定去死》,【瑞典】弗雷德里克·巴克曼,9.0,https://book.douban.com/subject/26672693/
《悉达多》,[德] 赫尔曼·黑塞,9.0,https://book.douban.com/subject/3406401/
《树上的男爵》,(意)卡尔维诺,9.0,https://book.douban.com/subject/6789605/
《你一生的故事》,[美] 特德·蒋,9.0,https://book.douban.com/subject/1187842/
《永恒的终结》,[美] 艾萨克·阿西莫夫,9.0,https://book.douban.com/subject/25829693/
《德米安》,[德] 赫尔曼·黑塞,9.0,https://book.douban.com/subject/3578470/
《来自新世界 （上下）》,[日] 贵志祐介,9.0,https://book.douban.com/subject/25752955/
《阿城精选集》,阿城,9.0,https://book.douban.com/subject/1830445/
《额尔古纳河右岸》,迟子建,9.0,https://book.douban.com/subject/3311253/
《没有个性的人》,(奥地利)罗伯特·穆齐尔,9.0,https://book.douban.com/subject/1017334/
《大师和玛格丽特》,[俄] 布尔加科夫,9.0,https://book.douban.com/subject/1077492/
《采桑子》,叶广芩,9.0,https://book.douban.com/subject/3448867/
《玻璃球游戏》,[德]赫尔曼·黑塞,9.0,https://book.douban.com/subject/2165076/
《哈利·波特与魔法石》,[英] J. K. 罗琳,9.0,https://book.douban.com/subject/1041007/
《四世同堂（上下）》,老舍,9.0,https://book.douban.com/subject/1073744/
《直捣蜂窝的女孩》,[瑞典] 斯蒂格·拉森,9.0,https://book.douban.com/subject/5993310/
《地下室手记》,[俄] 陀思妥耶夫斯基,9.0,https://book.douban.com/subject/10759466/
《酒吧长谈》,[秘] 马里奥·巴尔加斯·略萨,9.0,https://book.douban.com/subject/5383804/
《宋末大变局.四川风云  上册》,张生全,9.0,https://book.douban.com/subject/26857201/
《象棋的故事》,[奥] 斯台芬·茨威格,9.0,https://book.douban.com/subject/2158684/
《Flipped》,Van Draanen, Wendelin,9.0,https://book.douban.com/subject/2669319/
《神经外科的黑色喜剧》,[美]法兰克·佛杜锡克 著,9.0,https://book.douban.com/subject/1852700/
《沙之书》,(阿根廷)博尔赫斯,9.0,https://book.douban.com/subject/25796049/
《天龙八部》,金庸,9.0,https://book.douban.com/subject/1255625/
《心灵的焦灼》,斯台芬·茨威格,9.0,https://book.douban.com/subject/2146279/
《2001太空漫游》,[英] 阿瑟·克拉克,9.0,https://book.douban.com/subject/2340609/
《死屋手记》,[俄] 陀思妥耶夫斯基,9.0,https://book.douban.com/subject/1088418/
《Infinite Jest》,David Foster Wallace,9.0,https://book.douban.com/subject/1767750/
《东方快车谋杀案》,[英] 阿加莎·克里斯蒂,9.0,https://book.douban.com/subject/1827374/
《熔炉》,（韩）孔枝泳,9.0,https://book.douban.com/subject/24862771/
《海伯利安》,[美] 丹·西蒙斯,9.0,https://book.douban.com/subject/2052049/
《大明王朝1566》,刘和平,9.0,https://book.douban.com/subject/1982427/
